id,genres,title,keywords,overview,popularity,release_date,runtime,vote_average,vote_count,cast,crew,production_countries,production_companies
1452,Adventure Fantasy Action Science Fiction,Superman Returns,saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,2006-06-28,154.0,5.4,1400,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey Frank Langella,Jon Peters Gilbert Adler Bryan Singer,United States of America,DC Comics Legendary Pictures Warner Bros. Bad Hat Harry Productions
10764,Adventure Action Thriller Crime,Quantum of Solace,killing undercover secret agent british secret service,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,2008-10-30,106.0,6.1,2965,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini Gemma Arterton,Barbara Broccoli Marc Forster Michael G. Wilson,United Kingdom United States of America,Eon Productions
58,Adventure Fantasy Action,Pirates of the Caribbean: Dead Man's Chest,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,2006-06-20,151.0,7.0,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsgård Bill Nighy Jack Davenport,Gore Verbinski Jerry Bruckheimer Peter Kohn Pat Sandston,Jamaica United States of America Bahamas Dominica,Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions
57201,Action Adventure Western,The Lone Ranger,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,2013-07-03,149.0,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale Tom Wilkinson,Gore Verbinski Jerry Bruckheimer,United States of America,Walt Disney Pictures Jerry Bruckheimer Films Infinitum Nihil Silver Bullet Productions (II) Blind Wink Productions Classic Media
49521,Action Adventure Fantasy Science Fiction,Man of Steel,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,2013-06-12,143.0,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane Russell Crowe,Charles Roven Christopher Nolan Emma Thomas Zack Snyder Deborah Snyder,United Kingdom United States of America,Legendary Pictures Warner Bros. DC Entertainment Syncopy Cruel and Unusual Films
2454,Adventure Family Fantasy,The Chronicles of Narnia: Prince Caspian,based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,2008-05-15,150.0,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley Sergio Castellitto,Mark Johnson Andrew Adamson Philip Steuer,Czech Republic Poland Slovenia United States of America,Walt Disney Walden Media Stillking Films Ozumi Films Propeler Silverbell Films Revolution Sun Studios
24428,Science Fiction Action Adventure,The Avengers,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,2012-04-25,143.0,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner,Kevin Feige Joss Whedon,United States of America,Paramount Pictures Marvel Studios
1865,Adventure Action Fantasy,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,2011-05-14,136.0,6.4,4948,Johnny Depp Penélope Cruz Ian McShane Kevin McNally Geoffrey Rush Sam Claflin,Jerry Bruckheimer Rob Marshall,United States of America,Walt Disney Pictures Jerry Bruckheimer Films Moving Picture Company (MPC)
41154,Action Comedy Science Fiction,Men in Black 3,time travel time machine alien fictional government agency seeing the future changing history,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,2012-05-23,106.0,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson Jemaine Clement,Walter F. Parkes Barry Sonnenfeld Laurie MacDonald Lowell Cunningham,United States of America,Amblin Entertainment Media Magik Entertainment Imagenation Abu Dhabi FZ Hemisphere Media Capital Parkes/MacDonald Productions
122917,Action Adventure Fantasy,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,2014-12-10,144.0,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish William Kircher,Peter Jackson Fran Walsh Philippa Boyens Carolynne Cunningham Guillermo del Toro Zane Weiner,New Zealand United States of America,WingNut Films New Line Cinema Warner Bros. Pictures 3Foot7 Metro-Goldwyn-Mayer (MGM)
1930,Action Adventure Fantasy,The Amazing Spider-Man,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,2012-06-27,136.0,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott Irrfan Khan,Laura Ziskin Avi Arad Marc Webb Matt Tolmach,United States of America,Columbia Pictures Laura Ziskin Productions Marvel Entertainment
20662,Action Adventure,Robin Hood,robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,2010-05-12,140.0,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong Oscar Isaac,Brian Grazer Ridley Scott Russell Crowe,United Kingdom United States of America,Imagine Entertainment Universal Pictures Scott Free Productions Relativity Media
57158,Adventure Fantasy,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon wizard sword and sorcery,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,2013-12-11,161.0,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish William Kircher,Peter Jackson Fran Walsh Carolynne Cunningham Zane Weiner,New Zealand United States of America,WingNut Films New Line Cinema Warner Bros. Pictures Metro-Goldwyn-Mayer (MGM)
2268,Adventure Fantasy,The Golden Compass,england compass experiment lordship uncle polar bear orphan animal based on young adult novel,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,2007-12-04,113.0,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green Freddie Highmore,Chris Weitz Bill Carraro Deborah Forte,United Kingdom United States of America,New Line Cinema Ingenious Film Partners Depth of Field Scholastic Productions
254,Adventure Drama Action,King Kong,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,2005-12-14,187.0,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks Andy Serkis,Peter Jackson Fran Walsh Jan Blenkin Carolynne Cunningham,New Zealand United States of America Germany,WingNut Films Universal Pictures Big Primate Pictures MFPV Film
597,Drama Romance Thriller,Titanic,shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,1997-11-18,194.0,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates Gloria Stuart,James Cameron Jon Landau,United States of America,Paramount Pictures Twentieth Century Fox Film Corporation Lightstorm Entertainment
271110,Adventure Action Science Fiction,Captain America: Civil War,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,2016-04-27,147.0,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie Don Cheadle,Kevin Feige Anthony Russo Joe Russo,United States of America,Studio Babelsberg Marvel Studios Walt Disney Studios Motion Pictures Vita-Ray Dutch Productions (III) Deluxe Digital Studios
44833,Thriller Action Adventure Science Fiction,Battleship,fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,2012-04-11,131.0,5.5,2114,Taylor Kitsch Alexander Skarsgård Rihanna Brooklyn Decker Tadanobu Asano Liam Neeson,Duncan Henderson Scott Stuber Brian Goldner Peter Berg Sarah Aubrey Bennett Schneir,United States of America,Universal Pictures Hasbro Bluegrass Films Film 44
135397,Action Adventure Science Fiction Thriller,Jurassic World,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,2015-06-09,124.0,6.5,8662,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson Ty Simpkins,Frank Marshall Patrick Crowley Colin Trevorrow,United States of America,Universal Studios Amblin Entertainment Legendary Pictures Fuji Television Network Dentsu
37724,Action Adventure Thriller,Skyfall,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,2012-10-25,143.0,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris Bérénice Marlohe,Sam Mendes John Logan Barbara Broccoli Robert Wade Neal Purvis Michael G. Wilson,United Kingdom United States of America,Columbia Pictures
558,Action Adventure Fantasy,Spider-Man 2,dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,2004-06-25,127.0,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris Donna Murphy,Sam Raimi Laura Ziskin Avi Arad Lorne Orleans,United States of America,Columbia Pictures Laura Ziskin Productions Marvel Enterprises
68721,Action Adventure Science Fiction,Iron Man 3,terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,2013-04-18,130.0,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall Jon Favreau,Shane Black Kevin Feige,China United States of America,Marvel Studios
12155,Family Fantasy Adventure,Alice in Wonderland,based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,2010-03-03,108.0,6.4,4645,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover Marton Csokas,Tim Burton Jennifer Todd Suzanne Todd Richard D. Zanuck Katterli Frauenfelder Joe Roth Derek Frey Tom C. Peitzman,United States of America,"Walt Disney Pictures Team Todd Tim Burton Productions Roth Films Zanuck Company, The"
36668,Adventure Action Science Fiction Thriller,X-Men: The Last Stand,mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,2006-05-24,104.0,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen Anna Paquin,Ralph Winter Lauren Shuler Donner Avi Arad Brett Ratner,Canada United Kingdom United States of America,Ingenious Film Partners Twentieth Century Fox Film Corporation Donners' Company Dune Entertainment Major Studio Partners Bad Hat Harry Productions thinkfilm Marvel Enterprises X3 Canada Productions X3US Productions XM3 Service
62211,Animation Family,Monsters University,monster dormitory games animation best friend university scary aftercreditsstinger,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,2013-06-20,104.0,7.0,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston Peter Sohn,Kori Rae Dan Scanlon,United States of America,Walt Disney Pictures Pixar Animation Studios
8373,Science Fiction Action Adventure,Transformers: Revenge of the Fallen,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663,2009-06-19,150.0,6.0,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson John Turturro,Michael Bay Don Murphy Ian Bryce Lorenzo di Bonaventura Tom DeSanto,United States of America,Paramount Pictures DreamWorks SKG Amblin Entertainment Di Bonaventura Pictures Platinum Dunes Hasbro Studios Revolution Sun Studios
91314,Science Fiction Action Adventure,Transformers: Age of Extinction,sequel alien transformers giant robot robot imax transforming robot,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296,2014-06-25,165.0,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor Titus Welliver,Michael Bay Don Murphy Ian Bryce Lorenzo di Bonaventura Tom DeSanto,United States of America,Paramount Pictures Amblin Entertainment Di Bonaventura Pictures Platinum Dunes China Movie Channel Hasbro Studios Ian Bryce Productions Revolution Sun Studios
68728,Fantasy Adventure Family,Oz: The Great and Powerful,circus witch magic hope illusion lost magic trick wizard 3d,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,2013-03-07,130.0,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff Bill Cobbs,Sam Raimi Joe Roth,United States of America,Walt Disney Pictures Roth Films
102382,Action Adventure Fantasy,The Amazing Spider-Man 2,obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217,2014-04-16,142.0,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott Embeth Davidtz,Avi Arad Marc Webb Matt Tolmach,United States of America,Columbia Pictures Marvel Enterprises Avi Arad Productions Matt Tolmach Productions
20526,Adventure Action Science Fiction,TRON: Legacy,artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,2010-12-10,125.0,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta Serinda Swan,Steven Lisberger Jeffrey Silver Sean Bailey Joseph Kosinski,United States of America,Walt Disney Pictures LivePlanet Prana Studios Sean Bailey Productions Revolution Sun Studios Kontsept Film Company
49013,Animation Family Adventure Comedy,Cars 2,car race sequel comedy anthropomorphism best friend duringcreditsstinger,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,2011-06-11,106.0,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro Eddie Izzard,John Lasseter Brad Lewis Denise Ream,United States of America,Walt Disney Pictures Pixar Animation Studios
44912,Adventure Action Thriller Science Fiction,Green Lantern,dc comics transformation superhero alien alien infection magical object protector super powers origin 3d,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,2011-06-16,114.0,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong Temuera Morrison,Martin Campbell Donald De Line Greg Berlanti Geoff Johns,United States of America,De Line Pictures Warner Bros. DC Entertainment
